,회사명,위치,포지션,회사소개,주요업무,자격요견,우대사항,혜택 및 복지,마감일,기술스택
0,스윗코리아,서울시 강남구 삼성로 570,백엔드 개발자 Backend Developer (3년이상),"[스윗소개]스윗테크놀로지스는 미국 실리콘밸리에 본사를 둔 글로벌 테크 스타트업입니다. 채팅과 업무관리를 결합한 Swit은 'Google Workspace'나 'MS Office365' 'Zoom'등의 업무 필수 앱들과 완벽히 연동되고 전자결재, 프로젝트 관리등의 협업 기능등을 한곳에 모은 플랫폼으로, 단일 기능을 제공하던 기존 협업툴과는 다른 협업 운영체제 입니다. 스윗은 이런 차별화를 바탕으로 2019년 정식 버전 출시이래  글로벌 협업툴로 빠르게 성장하고 있습니다.또한 시리즈A 투자유치를 성공적으로 진행하며, 우수 인재분들을 채용 중에 있습니다. 글로벌 서비스를 함께 만들어갈 실력있는 예비 Switter분들의 지원을 기다립니다[합류 여정]• 1차 서류제출 → 코딩TEST → 2차 직무인터뷰(Online) → 3차 컬쳐핏인터뷰(Offline) → 처우협의/최종합격 → 입사- 해당공고는 수시채용으로, 우수인재 채용 완료시 조기에 마감될수 있습니다 - 각 전형 결과 안내는 모든 지원자분들에게 개별적으로 메일을 통해 안내해드리고 있습니다.- 지원자분의 이력 및 경력 사항에 따라 일부 전형 과정이 생략되거나 추가될 수 있습니다.- 수습기간 3개월[제출서류]• 경력 중심의 이력서 (필수) ※PDF파일 • 포트폴리오 (링크, 파일첨부 모두 가능)",• 3rd party 연동업무• 연동개발 위한 기술지원 업무,"• 3년이상의 백엔드 개발 경력을 보유하신 • OAuth 2.0, Access Token 기반의 오픈 API 설계 또는 개발 경험 있으신 분• 다양한 외부, 3rd party 시스템과 연계 경험이 있으신 분","• Cloud Platform 활용 경험 (gcp, aws, azure 플랫폼 상관없이 클라우드 환경에 익숙하신 분)•  꾸준히 성장하려는 마음 가짐과 배운 것을 함께 공유하는 것을 즐기시는 분","✔유연 근무제 운영   • 8시~10시 출근, 5시~7시 퇴근✔매주 수요일 자율근무    • 재택 혹은 원하는 장소, 원하는 시간에 근무가능 ✔여유로운 1시간 30분 점심시간  ✔월별 식대지원 법인카드 제공     • 식사&커피 값은 회사에서 책임져요✔무제한 간식부스 ✔자기개발비 100만원 지원   • 개인의 발전은 스윗의 발전이에요 ✔상호존중 조직문화   • 영어이름 소통 및 수평적 근무환경✔맥북프로CTO 등 최고사양의 업무 장비제공✔연차, 반차, 반반차 제도 운영✔삼성중앙역 도보 10초 거리 위치 ✔회사 별도 휴일 운영✔3년/5년/7년 근속자 유급 휴가 지원✔전 직원 100만원 상당 프리미엄 건강검진 지원✔팀 회식비 지원 ✔명절 상여 및 경조사비 지원✔생일휴가&선물, 결혼기념 유급 휴가   • 직원의 기쁜날엔 스윗이 축하해요 ✔각종 직무 관련 세미나, 컨퍼런스 참여, 업무 관련 도서 구매 지원✔이 중 최고의 복지는 실리콘밸리의 글로벌 기업에서 훌륭한 스윗 동료들과 함께 성장한다는 것입니다.✔[Swit News]• 원티드 '이 회사 어때요?' : https://url.kr/kx14y3• 스윗 CTO 인터뷰 : https://me2.kr/Iyrsf• EO 스윗 CEO 인터뷰(Youtube) : https://url.kr/gfbcsx",상시,
1,에이시티게임즈,강남구 삼성로 99길 11 (곰비빌딩),Web3 사업개발(BD),"에이시티 게임즈는 2019년 IP 전문 게임 개발 회사로 시작하여 IP를 활용한 5개의 게임을 성공적으로 개발/운영하고 있으며 새로운 IP발굴 및 확장을 지속적으로 진행하고 있습니다. 블록체인 기반의 P2E게임인 ZOIDS NFT ARENA 경우 지난달 11월 프론티어 테스트를 진행하였고 내년 정식 런칭을 예정중에 있습니다. 리니지,서든어택,피파온라인,킹덤오브히어로 등 유수한 게임 개발/운영에 참여한 평균 경력 16년 이상의 개발팀이 글로벌 서비스를 운영하고 있습니다. 2023년 미국과 프랑스를 포함한 글로벌 지사 런칭 예정이며,  Web3 마켓을 선도하는 게임 개발사로 자리매김 하고있는 여정에 시너지를 낼 수 있는 동료를 찾고 있습니다.저희는 Web3 시장을 개척하고 선점하는 도전을 해내고 있습니다. 이를 위해 기민하고 탄탄한 전문가들이 모여 새로운 것들을 시도하고 솔루션을 찾아내는 조직입니다 :)아래와 같은 역량과 태도를 갖춘 분이라면 저희와 좋은 시너지를 낼 수 있을거에요!• 스스로 최고의 기준을 설정하고 달성하는 전문성(Professionalism)• 문제를 정의하고 돌파하는 집요함(Problem Solving)과 열정(Enthusiasm)• 정확하게 소통하고 넓게 공유하며 동료들과 효과적으로 협업하는 태도 (Communication & Collaboration)",• 다양한 글로벌 파트너사들과의 커뮤니케이션 담당• 사업전략 리서치 업무: 글로벌 시장의 블록체인 산업 및 프로젝트에 대한 사업적 분석,"• 게임, 블록체인, NFT 생태계에 대한 높은 이해• Web3 사업 관련 실질적인 경험• Business Planning & 피칭 경험• 원어민 수준의 Speaking / Writing 영어실력• 논리적 사고를 바탕으로 원만하고 명확한 커뮤니케이션 능력",• 탄탄한 IP게임들을 통한 재정적 안정성을 토대로 빠르게 성장하는 Web3 시장을 선점하고 성과를 만들어 가는 경험!• 긴밀하게 협업하고 빠르게 실행/도전하는 업무환경과 업계 최고의 뛰어난 동료!• 탁월한 보상 체계 - 개인 성과 & 회사 실적에 따른 인센티브! (보상과 복지는 회사의 성장과 함께 꾸준히 발전될 예정),전략 기획사업 운영,상시,
2,딥파인,서울시 강서구 공항대로 242 열린M타워Ⅱ 512호,유니티(Unity) 개발자,"딥파인은 산업용 업무협업 솔루션 ARON을 시작으로 다양한 XR기술과 서비스를 개발하고 있습니다.이후 완성된 플랫폼 기업으로 나아가기 위해 가장 강력한 XR 플랫폼을 함께 만들어갈 뛰어난 동료를 기다립니다!딥파인의 ARON은 건설, 식품, 항공 등 국내 Top 기업고객들이 사용중에 있으며, 스마트글라스를 활용한 솔루션으로써 국내 최대 상용화에 성공하였습니다. 딥파인은 VPS 기반의 XR 플랫폼 출시를 목표로 현재 다양한 연구와 개발을 진행하고 있습니다. 이는, 한국국토정보공사가 주관하는 'AR기반 실내 측위 서비스 시범 사업' 선정되어 그 기술력을 인정 받았습니다.또한 창립 3년여만에 빠르게 성장하여, 2022년 Pre-A 시리즈 투자를 성공적으로 마무리 하였습니다.XR 기술을 활용하여 어디에도 없는 새로운 메타버스 생태계를 구축한다는 자부심을 가지고함께하는 성장에 가치를 느끼고 싶은 분이라면 언제든지 환영합니다.[주요 사업 분야]-비대면 업무협업 솔루션 ARON-비대면 업무협업 솔루션  ARON Enterprise -XR 플랫폼 연구 및 구축-XR 디바이스 솔루션 구축","• 유니티 활용 자사 MR 서비스 개발 • 유니티 엔진활용 AR/VR, WebGL, XR(스마트글래스) 등의 콘텐츠 제작 • 유니티 기술 R&D","• Unity 개발 경력 5년 이상이신 분 • Unity Render PipeLine을 활용한 그래픽 작업(URP, HDRP) 및 최적화• OpenCV를 활용한 AR 라이브러리 제작• Unity ARFoundation, OpenXR 개발• Unity를 활용한 Android, iOS, Universal Window Platform 개발• Unity 또는 Unreal을 활용한 XR(VR/AR) 앱 상용화 경험• C# programming language 사용 가능한 분• 구성원들과의 협업을 즐기고, 성과를 함께 나눌 수 있는 분",• Unity Mixed Reality Webrtc 라이브러리 사용 경험• C 또는 C++를 활용한 OpenCV Unity 라이브러리 제작 경험• Unity 3D 그래픽 및 클라이언트 사이드 최적화 경험• AR/AI 기술을 적용한 콘텐츠 기획 경험• Android/iOS 네이티브 개발 경험• 팀과 함께 성장하며 지식을 공유하는 문화를 좋아하는 분• 통신관련 개발 및 통신 프로토콜 이해와 경험,[채용 절차]• 1. 서류전형 ＞ 2. 실무 인터뷰(비대면) ＞ 3. 최종 인터뷰(대면) ＞ 3. 최종합격최종 합격 여부는 빠르면 24시간 이내 늦어도 2-3일 이내 안내드립니다.[근무 형태]• 시차 출퇴근제 시행 中 • 주 5일 : 08:00~10:00 출근 ~ 17:00~19:00 퇴근[근무 환경]• 발산역 8번출구에서 도보로 5분거리• 복장 완전 자율• 불필요한 야근/회식 강요 없음[혜택 및 복지]• 각종 경조사비 및 경조 휴가를 제공합니다.• 명절 선물 및 교통비를 제공합니다.• 자기 계발을 위한 직무 관련 도서 및 교육비를 지원합니다. • 대학원 학비 일부를 지원합니다. • 음료수 무한 제공합니다.• 목표 매출 달성 시 인센티브를 지급합니다.• 월말 2시간 조기 퇴근합니다.• 생일자는 그 주 원하는 날짜에 반차를 쓸 수 있습니다.• 매월 문화비 지원합니다.,상시,
3,비엘큐(테스트밸리),"서울특별시 강남구 선릉로94길 14 코아렌빌딩 6F, 7F",Java 백엔드 서버개발,"테스트밸리는 합리적인 소비를 가로막는 장벽을 허물고 혁신합니다!테스트밸리는 이제 생필품이 된 거대한 전자제품시장을 혁신시키고 싶습니다. 시작은 아직 강자가 없는 전자제품시장의 No.1 버티컬 커머스를 향해서 가고 있고 이후에는 리퍼비시 시장과 보상판매, 보험, BNPL과 같이 이 시장에서 더 다양한 고객경험을 줄 수 있는 생태계를 만들고 싶습니다.현재 테스트밸리는 리턴(전자제품 구매 전 체험 서비스)과 리뉴(검수 인증된 리퍼비시 제품)를 고객에게 서비스 합니다. 테스트밸리 팀은 높은 가격을 지불하면서도 간접 경험(인터넷 리뷰등)에만 의존해 제품을 구매해야 했던 기존 소비자의 불편함을 개선하고, 합리적인 가격의 검수 인증된 리퍼비시 제품을 통해 좋은 전자제품으로 삶의 질을 높이겠다는 목표를 향해 나아가고 있습니다.테스트밸리는 2020년 4월 소풍벤처스에서 시드투자를 받아 서비스를 시작한 이후 2년동안 매월 2배 이상의 성장을 이뤄내고 있습니다. 2021년 5월과 11월에는 에이티넘인베스트먼트, 스트롱벤처스, 베이스인베스트먼트, 패스트벤처스로 부터 Pre-A와 시리즈 A투자를 유치하여 총 72억의 투자 유치를 완료하였습니다.2022년 6월에는 누적 거래액 160억 돌파했고 전년 동기대비 거래액 성장률 약 900%를 넘기면서 성장하고 있습니다. 7월에는 쿠팡, 위메프, 라인 경험을 가진 CTO분과 배민 1호 마케터 출신 마케팅 리드 분도 모셔서 조직 세팅과 함께 새로운 성장을 준비하고 있습니다. 고객에 대한 집착과 스스로의 아웃풋에 대한 높은 기준을 가지고 함께 성장해나갈 팀원을 기다립니다.[채용절차]   • 서류 심사 - 1차 인터뷰 - 2차 인터뷰 - 근무조건 협의   • 최대한 지원자분의 일정에 맞춰서 인터뷰 가능합니다   • 포지션의 특성에 따라 채용절차 중 온라인과제가 진행될 수 있습니다.   • 고용형태 : 정규직(수습기간 3개월)",테스트밸리의 Back-end 사이드를 개발하게 됩니다.• 테스트밸리 서버 및 API 개발• 테스트밸리 Infra 유지 보수,"• Java, Spring Boot, JPA(QueryDsl) 환경 API 개발 4년차 이상의 경험이 있으신 분• RESTful API에 대한 설계, 개발 경험이 있으신 분• 데이터베이스 관련 지식 및 SQL에 대한 이해와 활용 경험이 있으신 분 (MySQL)• Git, Gitflow에 대한 일반적인 사용 경험 및 CI/CD를 활용한 소프트웨어 빌드 및 배포 경험이 있으신 분• 이커머스 서비스 개발 경험이 있으신 분","• 비즈니스 요구사항에 따른 DB 설계 경험이 있으신 분• 비즈니스 핵심을 이해하고 효율적인 데이터 구조 및 API 설계가 가능하신 분• 성능 개선 경험이 있으신 분• 5인이상 개발자와 협업 경험이 있으신 분• 컨테이너(Docker, Kubernetes) 및 퍼블릭 클라우드 환경(AWS, GCP 등)을 이용한 개발 및 배포 경험이 있으신 분• NoSQL, 메시지 큐, 비동기 프로그래밍 등 최신 개발 트렌드에 대한 학습 또는 활용 경험이 있으신 분",• 시차출퇴근제 운영• 기업 건강검진• 야근교통비 / 야근식대 지원• 직무 교육비 / 도서구입비 지원• 간식 및 커피 제공• 선릉역에서 도보 2분 거리의 쾌적한 신축 사무실• 성과에 따른 인센티브 부여 기회 제공,상시,GitGithubJIRASlackAngularJSReactVueJSJavaTypeScriptAWSSpring FrameworkORMReact.jsNotion
4,긴트,경기도 수원시 영통구 대학3로 7 나보나스퀘어 5층 긴트,응용소프트웨어(전장) 개발자,"GINT 는 인류에게 가장 기본적이며 필수적인 산업인 농업, 그 중에서도 생산과정을 근본적으로해결하기 위해 국내 최고 수준 오토모티브, ICT 전문가들이 모인 Ag-Tech 스타트업입니다. 기술신용평가에서 TI-2등급이라는 최고에 가까운 등급을 받은만큼 기술력, 시장성, 사업성, 경영역량에서도 인정받았습니다.21년까지 누적 약 100억원 투자를 유치하였고, 23년 상반기 내 Series  B 유치와 함께 자율주행 기술을 시작으로 한 본격적인 미래농업기술과 서비스 보급을 시작할 예정입니다. Great Inspiration to the NexT, 우리가 꿈꾸는 다음 세대를 위한 비즈니스입니다.",• Matlab Simulink 기반 제어로직 개발• MIL/SIL 로직 검증• HIL/차량 로직 검증• AUTOSAR 기반 응용소프트웨어 개발• 모터 제어소프트웨어 개발• Close Loop 제어소프트웨어 개발• 기능안전 대응 안전 매커니즘 적용 설계(ISO26262)• 차량 관리 및 개발• 차량용 개발프로세스(ASPICE) 적용 개발,"• 대졸(4년제) 이상• 제어 알고리즘 개발 경험• Matlab Simulink 기반 제어로직 개발• 로직 검증(MIL, SIL, HIL 차량)","• AUTOSAR 기반 개발 경험/지식• 모터 구동드라이버 개발• 기능안전, ASPICE 관련 경험/지식• 차량 사이버보안 경험/지식• ETAS INCA 사용 경험","• 모든 구성원들은 08~10시 사이 자유롭게 출근 할 수 있습니다.• 회식, 야근에 대한 강요가 없습니다.• 직무교육, 어학교육, 자격증, 필요 시 학위 취득까지! 지원해드립니다.(근속 6개월 이상)• 성장, 목표달성, 기여를 기반으로 노력과 성취에 대한 인센티브 제도를 운영합니다.• 점심, 저녁(야근 시) 식대는 각 13,000원으로 넉넉히 지원해 드리고 있습니다.• 장기근속 리워드가 있습니다.(리프레쉬휴가 + 선물)• 다양한 간식 및 커피를 제공합니다.• 자기계발을 위한 도서비 지원을 합니다.• 직급에 관계없이 상호 존댓말을 사용하고 있습니다.• 매년 건강검진을 제공합니다.• 수면실, 샤워실, 안마의자 등 편하게 휴식할 수 있는 공간이 있습니다.• 직무 발명 보상제도를 운영하고 있습니다.• 사내 추천 및 보상제도를 운영하고 있습니다.• 야근시 택시비를 지원해드립니다.• 임신기간 근로시간 단축제를 시행하고 있습니다.• 광교 본사 외 서울 오피스를 듀얼로 운영하고 있습니다.",상시,CANEmbedded LinuxAUTOSAR
5,긴트,,임베디드소프트웨어(전장) 개발자,"GINT 는 인류에게 가장 기본적이며 필수적인 산업인 농업, 그 중에서도 생산과정을 근본적으로해결하기 위해 국내 최고 수준 오토모티브, ICT 전문가들이 모인 Ag-Tech 스타트업입니다. 기술신용평가에서 TI-2등급이라는 최고에 가까운 등급을 받은만큼 기술력, 시장성, 사업성, 경영역량에서도 인정받았습니다.21년까지 누적 약 100억원 투자를 유치하였고, 23년 상반기 내 Series  B 유치와 함께 자율주행 기술을 시작으로 한 본격적인 미래농업기술과 서비스 보급을 시작할 예정입니다. Great Inspiration to the NexT, 우리가 꿈꾸는 다음 세대를 위한 비즈니스입니다.",• 임베디드 소프트웨어 개발• AUTOSAR 기반 베이직 소프트웨어 개발• 마이컴 드라이버(MACL) 소프트웨어 개발• 모터 구동 드라이버 개발• 차량 통신/진단 통신 개발• BSW/ASW 인터페이스 소프트웨어 개발• 부트로더 및 OTA(무선리프로그램) 개발• 기능안전 대응 안전 매커니즘 적용 설계(ISO26262)• 차량 사이버보안(Cyber Security) 적용 관리 및 개발• 차량용 개발프로세스(ASPICE) 적용 개발,• 대졸(4년제) 이상• 임베디드 SW 개발 경험• C/C++ 기반 SW 개발 경험• 마이컴 드라이버 소프트웨어 개발• 반도체 스펙 분석 및 이해 능력,"• AUTOSAR 기반 개발 경험/지식• JAVA, Perl, Python 활용 경험• 모터 구동 드라이버 개발• 차량용 통신(CAN, CANFD, 진단통신) 개발 경험• 기능안전, ASPICE 관련 경험/지식• 차량 사이버보안 경험/지식","• 모든 구성원들은 08~10시 사이 자유롭게 출근 할 수 있습니다.• 회식, 야근에 대한 강요가 없습니다.• 직무교육, 어학교육, 자격증, 필요 시 학위 취득까지! 지원해드립니다.(근속 6개월 이상)• 성장, 목표달성, 기여를 기반으로 노력과 성취에 대한 인센티브 제도를 운영합니다.• 점심, 저녁(야근 시) 식대는 각 13,000원으로 넉넉히 지원해 드리고 있습니다.• 장기근속 리워드가 있습니다.(리프레쉬휴가 + 선물)• 다양한 간식 및 커피를 제공합니다.• 자기계발을 위한 도서비 지원을 합니다.• 직급에 관계없이 상호 존댓말을 사용하고 있습니다.• 매년 건강검진을 제공합니다.• 수면실, 샤워실, 안마의자 등 편하게 휴식할 수 있는 공간이 있습니다.• 직무 발명 보상제도를 운영하고 있습니다.• 사내 추천 및 보상제도를 운영하고 있습니다.• 야근시 택시비를 지원해드립니다.• 임신기간 근로시간 단축제를 시행하고 있습니다.• 광교 본사 외 서울 오피스를 듀얼로 운영하고 있습니다.",,
6,긴트,,사업개발팀 B2B Manager,"GINT 는 인류에게 가장 기본적이며 필수적인 산업인 농업, 그 중에서도 생산과정을 근본적으로해결하기 위해 국내 최고 수준 오토모티브, ICT 전문가들이 모인 Ag-Tech 스타트업입니다. 기술신용평가에서 TI-2등급이라는 최고에 가까운 등급을 받은만큼 기술력, 시장성, 사업성, 경영역량에서도 인정받았습니다.21년까지 누적 약 100억원 투자를 유치하였고, 23년 상반기 내 Series  B 유치와 함께 자율주행 기술을 시작으로 한 본격적인 미래농업기술과 서비스 보급을 시작할 예정입니다. Great Inspiration to the NexT, 우리가 꿈꾸는 다음 세대를 위한 비즈니스입니다.",• 농기계 자율주행 제품(플루바 오토) / 농기계 토탈 케어솔루션(플루바케어)의 B2B 전략 및 글로벌 전략 설계 및 운영 • 농업관련 다양한 정부와 기업 및 협업 부서 커뮤니케이션,"• 학력 : 대졸(2,3년제) 이상• 경력 : 경력5년↑• 농기계 및 IT 관련 B2B 사업 유경험자• 농기계 산업 전반에 대한 이해가 있는 분","• 영어, 인도네시아어 등 어학능력 보유자• PPT 숙련자• 정부과제 및 보급사업, ODA 사업 유경험자• 자율주행, RTK-GPS 기술영업 유경험자• 스타트업 근무 경험","• 모든 구성원들은 08~10시 사이 자유롭게 출근 할 수 있습니다.• 회식, 야근에 대한 강요가 없습니다.• 직무교육, 어학교육, 자격증, 필요 시 학위 취득까지! 지원해드립니다.(근속 6개월 이상)• 성장, 목표달성, 기여를 기반으로 노력과 성취에 대한 인센티브 제도를 운영합니다.• 점심, 저녁(야근 시) 식대는 각 13,000원으로 넉넉히 지원해 드리고 있습니다.• 장기근속 리워드가 있습니다.(리프레쉬휴가 + 선물)• 다양한 간식 및 커피를 제공합니다.• 자기계발을 위한 도서비 지원을 합니다.• 직급에 관계없이 상호 존댓말을 사용하고 있습니다.• 매년 건강검진을 제공합니다.• 수면실, 샤워실, 안마의자 등 편하게 휴식할 수 있는 공간이 있습니다.• 직무 발명 보상제도를 운영하고 있습니다.• 사내 추천 및 보상제도를 운영하고 있습니다.• 야근시 택시비를 지원해드립니다.• 임신기간 근로시간 단축제를 시행하고 있습니다.• 광교 본사 외 서울 오피스를 듀얼로 운영하고 있습니다.",,
7,엑스트라이버(TRIPSTORE/트립스토어),,서비스기획자,"엑스트라이버는 여행 플랫폼 ＜트립스토어＞ 서비스를 개발, 운영하며 해외패키지, 국내숙소, 액티비티 등 여행에 관한 다양한 상품 정보를 제공하고 있습니다. 여행을 준비하는 과정이 간편하도록  '즐거운 여행을 쉽게' 라는 비전으로 오늘도 한 걸음씩 성장하고 나아가고 있습니다.2017년 8월 런칭한 ‘트립스토어'는 여러 여행사의 해외 패키지 여행 상품을 쉽고 빠르게 찾아 예약할 수 있도록 돕는 플랫폼으로 사용자가 원하는 여행기간, 가격, 출발시간, 숙소성급, 오션뷰, 액티비티, 아동반값, 쇼핑유무 등을 필터 기능을 이용해 나에게 맞는 조건의 상품을 쉽게 찾을 수 있으며, 코로나 시대를 맞아 국내여행 상품까지 영역을 확대하여 국내 숙소, 액티비티, 국내패키지 등을 다양한 카테고리의 상품 정보를 확인할 수 있습니다.서비스 런칭 초기부터 빠르게 성장하여 다운로드 400만건을 돌파하며 빠르게 성장하였고 성장 가능성을 인정받아 다수의 투자자로부터 누적 투자금 197억원을 기록하고 있습니다.트립스토어 구성원들은 다양한 사업 경험, 성공과 실패의 노하우를 통해 코로나 시기에도 잘 견뎌왔으며 포스트 코로나 시대에 여행의 수요가 높아지는 시기를 준비하기 위하여 다양한 시도와 도전을 하고 있습니다.앞으로 더 기대되는 여행시장에서 좋은 서비스를 함께 만들 수 있도록 많은 관심 바랍니다!","• 트립스토어 서비스 기획• 제품 요건 정의, 프로덕트 디자이너와 협업을 통한 솔루션 도출• 문제해결 정보/요구사항 수집, 세부 과제 정의, 진행 순서 및 시기 협의, 일정관리• 제작부서 및 내부 운영부서와의 커뮤니케이션 리드• 사용자에게 트립스토어만의 가치를 제공하기 위해 끊임없는 기회발굴과 실행","• Web/Mobile 서비스 기획 및 설계 경험이 5년 이상 있으신 분• 사용자 중심, 데이터 기반으로 지표를 개선한 경험이 있으신 분• 업무의 우선순위를 정의하고, 체계적으로 실행할 수 있으신 분• 다양한 직군과 논리적으로 긍정적인 소통이 가능하신 분","• MAU 100만 이상의 Mobile 서비스 기획/운영 경험이 있으신 분• 데이터 분석을 기반으로 한 서비스 기획이 가능하신 분• A/B테스트를 통한 사용자 중심의 서비스 개선 경험이 있으신 분• 목표 달성을 위해 노력하고, 부족한 부분을 서로 함께 채워 나갈 수 있는 분","• 여행지원금 + 휴가 : 해외여행 지원금 100만원 및 여행 포상 휴가 3일 (매년 지급)• 시차출근제 (8시~10시) : 원하는 근무시간을 선택하세요 !• 75분 점심시간 (11:30 ~ 12:45) : 여유로운 점심시간을 즐겨요~• 랜덤런치 : 월 1회, 새로운 멤버와 색다른 이야기를 나누어봐요.• 간식 무제한 : 입이 심심할 땐? 내 취향에 맞는 간식을 내맘대로 쏙쏙• 생일 기념 상품권 : 내 선물은 내가 고르자!• 생일 빠른 퇴근 : 조금 일찍 퇴근하여 가족, 지인과 함께 소중한 시간 보내요.• 자유로운 휴가 사용 : 아직도 눈치 주는 회사가 있나요.• 야근식대/교통비 : 야근하지 마세요. 꼭 야근이 필요하다면 지원해드려요.• 통일된 호칭(님)으로 의견을 자유롭게 나누어요!• 지하철 2호선/분당선이 위치한 선릉역에 위치하고 있어요.• 공유오피스의 혜택 누리기 // 커피, 우유, 맥주 무제한• 건강검진 : 검진 비용 지원 및 유급 반차 휴가 제공• 4대보험 가입, 경조금 및 경조휴가 지급• 법정기준연차, 경조휴가, 법정공휴일 휴무, 노동절 휴무",,
8,긴트,,백엔드 개발자,"GINT 는 인류에게 가장 기본적이며 필수적인 산업인 농업, 그 중에서도 생산과정을 근본적으로해결하기 위해 국내 최고 수준 오토모티브, ICT 전문가들이 모인 Ag-Tech 스타트업입니다. 기술신용평가에서 TI-2등급이라는 최고에 가까운 등급을 받은만큼 기술력, 시장성, 사업성, 경영역량에서도 인정받았습니다.21년까지 누적 약 100억원 투자를 유치하였고, 23년 상반기 내 Series  B 유치와 함께 자율주행 기술을 시작으로 한 본격적인 미래농업기술과 서비스 보급을 시작할 예정입니다. Great Inspiration to the NexT, 우리가 꿈꾸는 다음 세대를 위한 비즈니스입니다.",• AWS를 통해 laaS 모델의 서버 운영• 유저 서비스에서 사용되는 다양한 API 개발 및 관리• 백앤드 아키텍쳐 설계 및 개선,"• 컴퓨터 및 소프트웨어 공학 학사 이상• Python, Node.js 언어 사용 가능하신 분• API(REST, GraphQL) 설계 및 최적화 가능하신 분• 클라우드 환경에 대한 이해가 있으신 분• Database design에 대한 이해가 있으신 분",• AWS에 대한 경험이 있으신 분• Computer Science 지식에 대한 깊은 이해가 있는 분• 오픈소스 개발 경험이 있으신 분• 다양한 Database에 대한 이해를 바탕으로 용도에 맞는 최적의 DB 선택 및 설계가 가능하신 분,"• 모든 구성원들은 08~10시 사이 자유롭게 출근 할 수 있습니다.• 회식, 야근에 대한 강요가 없습니다.• 직무교육, 어학교육, 자격증, 필요 시 학위 취득까지! 지원해드립니다.(근속 6개월 이상)• 성장, 목표달성, 기여를 기반으로 노력과 성취에 대한 인센티브 제도를 운영합니다.• 점심, 저녁(야근 시) 식대는 각 13,000원으로 넉넉히 지원해 드리고 있습니다.• 장기근속 리워드가 있습니다.(리프레쉬휴가 + 선물)• 다양한 간식 및 커피를 제공합니다.• 자기계발을 위한 도서비 지원을 합니다.• 직급에 관계없이 상호 존댓말을 사용하고 있습니다.• 매년 건강검진을 제공합니다.• 수면실, 샤워실, 안마의자 등 편하게 휴식할 수 있는 공간이 있습니다.• 직무 발명 보상제도를 운영하고 있습니다.• 사내 추천 및 보상제도를 운영하고 있습니다.• 야근시 택시비를 지원해드립니다.• 임신기간 근로시간 단축제를 시행하고 있습니다.• 광교 본사 외 서울 오피스를 듀얼로 운영하고 있습니다.",,
9,긴트,강남구 삼성동 75-6 수당빌딩 4층 긴트,프론트엔드 개발자,"GINT 는 인류에게 가장 기본적이며 필수적인 산업인 농업, 그 중에서도 생산과정을 근본적으로해결하기 위해 국내 최고 수준 오토모티브, ICT 전문가들이 모인 Ag-Tech 스타트업입니다. 기술신용평가에서 TI-2등급이라는 최고에 가까운 등급을 받은만큼 기술력, 시장성, 사업성, 경영역량에서도 인정받았습니다.21년까지 누적 약 100억원 투자를 유치하였고, 23년 상반기 내 Series  B 유치와 함께 자율주행 기술을 시작으로 한 본격적인 미래농업기술과 서비스 보급을 시작할 예정입니다. Great Inspiration to the NexT, 우리가 꿈꾸는 다음 세대를 위한 비즈니스입니다.","• 현재 앱 개선(최적화, 리팩토링, 테스트/배포 등)• 새로운 앱 혹은 서비스 개발• 단위/기능 테스트 코드 작성","• 경력 3년이상• Javascript/Typescript 언어 사용이 가능하신 분• React, React-native 개발이 가능하신 분",• Play store/App store 등록 및 배포 경험이 있으신 분• 필수 언어 외 다른 프로그래밍 언어 사용이 가능하신 분• CI/CD 환경 구축을 경험하거나 관심이 있으신 분• 새로운 기술을 익히는데 주저함이 없고 이를 공유 하는걸 즐기시는 분,"• 모든 구성원들은 08~10시 사이 자유롭게 출근 할 수 있습니다.• 회식, 야근에 대한 강요가 없습니다.• 직무교육, 어학교육, 자격증, 필요 시 학위 취득까지! 지원해드립니다.(근속 6개월 이상)• 성장, 목표달성, 기여를 기반으로 노력과 성취에 대한 인센티브 제도를 운영합니다.• 점심, 저녁(야근 시) 식대는 각 13,000원으로 넉넉히 지원해 드리고 있습니다.• 장기근속 리워드가 있습니다.(리프레쉬휴가 + 선물)• 다양한 간식 및 커피를 제공합니다.• 자기계발을 위한 도서비 지원을 합니다.• 직급에 관계없이 상호 존댓말을 사용하고 있습니다.• 매년 건강검진을 제공합니다.• 수면실, 샤워실, 안마의자 등 편하게 휴식할 수 있는 공간이 있습니다.• 직무 발명 보상제도를 운영하고 있습니다.• 사내 추천 및 보상제도를 운영하고 있습니다.• 야근시 택시비를 지원해드립니다.• 임신기간 근로시간 단축제를 시행하고 있습니다.• 광교 본사 외 서울 오피스를 듀얼로 운영하고 있습니다.",상시,CANEmbedded LinuxAUTOSAR
